x
Plekhb2
Mrpl30
Coq10b
Aox1
Ndufb3
Sp100
Cxcr7
Gpc1
Slc41a1
Klhdc8a
Brp44
Creg1
Rxrg
Efcab2
Gm10925
Ankrd23
Fhl2
Trak2
Myl1
Atg9a
Tuba4a
Pfkfb2
Mapkapk2
Cfh
Gm5532
Fmo2
Mgst3
Atp1a2
Ifi205
Txlnb
Sesn1
P4ha1
Psap
Rhobtb1
Chchd10
Bsg
Hcn2
Ndufs7
Apba3
Pah
Dcn
Ptprb
Itga7
Amd1
Ddit4
Mypn
Cisd1
D10Jhu81e
Chpt1
Nudt4
Lyz2
Coq10a
Ogdh
Psme4
Hba-a2
Gfpt2
Map2k3
Kif1c
Rasl10b
Tcap
Mapt
Ace
Taco1
Mtfp1
Ccng1
Cyfip2
Pdlim4
Pfas
Slc2a4
Sgca
Pdk2
Atp5g1
Gm10039
Stat3
Abca8a
Acox1
Nampt
Pnpla8
Ubxn2a
Lpin1
Egln3
Aldh6a1
Slc25a29
Ankrd9
Hist1h2bc
Ell2
Mtr
Gm11273
Acot13
Uqcrfs1
Mylk4
F13a1
Gfod1
Ccdc90a
Wnk2
Agtpbp1
Ckmt2
Cmya5
Pik3r1
Apoo-ps
Thrb
Asb14
Lrtm1
Galntl2
Ogdhl
Ang,Rnase4
Ctsb
Scara5
Clu
Phyhip
Sucla2
Nr1d2
3425401B19Rik
Kpna3
Ephx2
Dock5
Slc39a14
Oxct1
Ank
Gpt
Csdc2
Pfkm
Gpd1
Nr4a1
Tenc1
Igfbp6
Abra
Gm10020
Fbxo32
Lynx1
Ly6a
Ly6c1
Mb
Tob2
Ttll1
Abcc1
Cebpd
Bdh1
Retnla
Cpox
Jam2
D16H22S680E
Bcl6
Lrrc15
Col8a1
Brp44l
Smoc2
Rpl3l
Sepx1
Pacsin1
Anks1
BC004004
Pi16
Mut
Clic5
Fem1a
Ndufa11
Trip10
Epas1
Ttc7
Slc9a3r2
Ndufb10
Glo1
C4b
Plin4
Plin5
Lrg1
Xdh
Lims2
Sh3rf2
Iigp1
Reep5
Gm1614
Ndufa2
4933403F05Rik
Doc2g,Nudt8
Gal3st3
Gm5514
Klf9
Neat1
Gda
Ppp1r3c
Got1
Scd1
Kcnip2
Gpam
Phyh
Gsn
Arpc5l
Xirp2
Gm13910
Mavs
Gm14420
Meig1
Optn
Tubb4b
Ptgds
Itgb6
Scn7a
Serping1
A430105I19Rik
Gpcpd1
Thbd
Cst3
2310001A20Rik
Acss1
Fitm2
Atp9a
Eef1a2
Pkia
Nceh1
Mfn1
Rnf13
P2ry1
Hfe2
Eif4e
Tmem144
Sema4a
S100a1
Pde4dip
Fam46c
Csf1
Gstm1
Myoz2
Gm2078,Mir1895
Pdlim5
Dnajb4
Acadm
Dnajb5
Murc
Gm12824
Stk40
Fndc5
Aldh4a1
Klhl21
Tmem52
2310042D19Rik
Pm20d2
Tomm5
Ptpn3
Scp2
Extl1
C1qb
C1qc
C1qa
Pink1
Fblim1
Slc25a34
