x
Lrrfip1
Ramp1
En1
Lrrn2
Csrp1
Phlda3
Tnni1
Rnasel
Kif26b
Mcm3
Col5a2
Fn1
Hjurp
Arl4c
Nckap5
Mcm6
Ppfia4
Nav1
Rgl1
Ralgps2
Casq1
Vash2
Plagl1
Ptprk
Tbata
Ctnna3
Lta4h
Btg1
Gm15662
Hey2
Marcks
Col18a1
Tmpo
Rps15a-ps1
Srgap1
Upp1
Bcl11a
Sh3pxd2b
Gm12124
Adam19
Mmgt2
Rtn4rl1
Mbtd1
Col1a1
Ppp1r1b
Myl4
Map2k6
Ddc
Grb10
2810442I21Rik
Meis1
5730522E02Rik
Hmmr
Pttg1
Hand1
Gm12245
Wsb1
Slfn9
Ypel2
Top2a
Arhgap27
Fasn
Klf11
Rrm2
Pxdn
Lamb1
Acot1
Nrxn3
Meg3,Mir1906-1,Mir770
Rian,SNORD113
Ncapg2
Rnf144a
Sox11
Mis18bp1
Rpl10l
Actn1
Gli3
Fam65b
Fam172a
Lhfpl2
Adamts6
Plk2
Akr1c18
Sox4
Gmds
Tubb2b
Ror2
Mtap1b
Mmp14
Slitrk5
Gpc6
Farp1
Gng2
Wdhd1
Jub
Slc22a17
RP23-358B23.3
Col14a1
Wisp1
Srebf2
Troap
Sntb1
Mtss1
Cbx6,Npcd,Nptxr
Rpl3
Slc38a1
Slc38a4
Racgap1
Snx29
C330027C09Rik
Chaf1b
Igf2bp2
Phldb2
Kcne1
Ncrna00085
Dcpp1,Dcpp2
Neurl1b
Cyp39a1
Supt3h
Uhrf1
Epb4.1l3
Gm6476
Cacna1h
Angptl4
Tubb5
AY036118
Strn
Lmnb1
Adamts19
Pde6a
Nedd4l
D0H4S114
Dpysl3
Fbn2
SNORD25,SNORD26,SNORD27,SNORD28,SNORD29,SNORD30,SNORD31,Snhg1,Snord22
Tmem2
Kif11
Scd2
Scd4
Vti1a
Tcf7l2
2010317E24Rik
Col5a1
Lass6
Mpped2
D2Ertd750e
Bcl2l11
Tpx2
Myl9
Ube2c
Camk1d
Rsu1
Pbx3
Gtdc1
Tspan18
Arhgap11a
